� teste-gde
Data;Hora;Chave;Valor;
2021-03-01;13:46:50;Ano;2012;                                   
2021-03-01;13:46:50;Ano;2012;                                   
2021-03-01;13:46:50;Mes;3;                                      
2021-03-01;13:46:50;Dia;5;                                      
2021-03-01;13:46:50;Silo 01;0;                                  
2021-03-01;13:46:50;Silo 02;0;                                  
2021-03-01;13:46:50;Silo 03;0;                                  
2021-03-01;13:46:50;Silo 04;0;                                  
2021-03-01;13:46:51;Betume;0;                                   
2021-03-01;13:46:51;Total Inova;0;                              
2021-03-01;13:46:51;Total Horas Inova;0;                        
2021-03-01;13:46:51;;0;                                         
2021-03-01;13:46:51;;0;                                         
2021-03-01;13:46:51;;0;                                         
2021-03-01;13:46:51;;0;                                         
2021-03-01;13:46:51;;0;                                         
2021-03-01;13:46:51;Ano;2012;                                   
2021-03-01;13:46:51;Mes;3;                                      
2021-03-01;13:46:51;Dia;5;                                      
2021-03-01;13:46:51;Silo 01;0;                                  
2021-03-01;13:46:51;Silo 02;0;                                  
2021-03-01;13:46:51;Silo 03;0;                                  
2021-03-01;13:46:51;Silo 04;0;                                  
2021-03-01;13:46:51;Betume;0;                                   
2021-03-01;13:46:52;Total Inova;0;                              
2021-03-01;13:46:52;Total Horas Inova;0;                        
2021-03-01;13:46:52;;0;                                         
2021-03-01;13:46:52;;0;                                         
2021-03-01;13:46:52;;0;                                         
2021-03-01;13:46:52;;0;                                         
2021-03-01;13:46:52;;0;                                         
2021-03-01;13:46:52;;0;                                         
2021-03-01;13:46:52;Ano;2012;                                   
2021-03-01;13:46:52;Mes;3;                                      
2021-03-01;13:46:52;Dia;5;                                      
2021-03-01;13:46:52;Silo 01;0;                                  
2021-03-01;13:46:52;Silo 02;0;                                  
2021-03-01;13:46:52;Silo 03;0;                                  
2021-03-01;13:46:52;Silo 04;0;                                  
2021-03-01;13:46:52;Betume;0;                                   
2021-03-01;13:46:53;Total Inova;0;                              
2021-03-01;13:46:53;Total Horas Inova;0;                        
2021-03-01;13:46:53;;0;                                         
2021-03-01;13:46:53;;0;                                         
2021-03-01;13:46:53;;0;                                         
2021-03-01;13:46:53;;0;                                         
2021-03-01;13:46:53;;0;                                         
2021-03-01;13:46:53;;0;                                         
2021-03-01;13:46:53;;0;                                         
2021-03-01;13:46:53;;0;                                         
2021-03-01;13:46:53;Ano;2012;                                   
2021-03-01;13:46:53;Mes;3;                                      
2021-03-01;13:46:53;Dia;5;                                      
2021-03-01;13:46:53;Silo 01;0;                                  
2021-03-01;13:46:53;Silo 02;0;                                  
2021-03-01;13:46:53;Silo 03;0;                                  
2021-03-01;13:46:53;Silo 04;0;                                  
2021-03-01;13:46:53;Betume;0;                                   
2021-03-01;13:46:53;Total Inova;0;                              
2021-03-01;13:46:53;Total Horas Inova;0;                        
2021-03-01;13:46:53;;0;                                         
2021-03-01;13:46:53;;0;                                         
2021-03-01;13:46:53;;0;                                         
2021-03-01;13:46:53;;0;                                         
2021-03-01;13:46:54;;0;                                         
2021-03-01;13:46:54;;0;                                         
2021-03-01;13:46:54;;0;                                         
2021-03-01;13:46:54;;0;                                         
2021-03-01;13:46:54;Ano;2012;                                   
2021-03-01;13:46:54;Mes;3;                                      
2021-03-01;13:46:54;Dia;5;                                      
2021-03-01;13:46:54;Silo 01;0;                                  
2021-03-01;13:46:54;Silo 02;0;                                  
2021-03-01;13:46:54;Silo 03;0;                                  
2021-03-01;13:46:54;Silo 04;0;                                  
2021-03-01;13:46:54;Betume;0;                                   
2021-03-01;13:46:54;Total Inova;0;                              
2021-03-01;13:46:54;Total Horas Inova;0;                        
2021-03-01;13:46:54;;0;                                         
2021-03-01;13:46:54;;0;                                         
2021-03-01;13:46:55;;0;                                         
2021-03-01;13:46:55;;0;                                         
2021-03-01;13:46:55;;0;                                         
2021-03-01;13:46:55;;0;                                         
2021-03-01;13:46:55;;0;                                         
2021-03-01;13:46:55;;0;                                         
2021-03-01;13:46:55;Ano;2012;                                   
2021-03-01;13:46:55;Mes;3;                                      
2021-03-01;13:46:55;Dia;5;                                      
2021-03-01;13:46:55;Silo 01;0;                                  
2021-03-01;13:46:55;Silo 02;0;                                  
2021-03-01;13:46:55;Silo 03;0;                                  
2021-03-01;13:46:55;Silo 04;0;                                  
2021-03-01;13:46:55;Betume;0;                                   
2021-03-01;13:46:55;Total Inova;0;                              
2021-03-01;13:46:55;Total Horas Inova;0;                        
2021-03-01;13:46:56;;0;                                         
2021-03-01;13:46:56;;0;                                         
2021-03-01;13:46:56;;0;                                         
2021-03-01;13:46:56;;0;                                         
2021-03-01;13:46:56;;0;                                         
2021-03-01;13:46:56;;0;                                         
2021-03-01;13:46:56;;0;                                         
2021-03-01;13:46:56;;0;                                         
2021-03-01;13:46:56;Ano;2012;                                   
2021-03-01;13:46:56;Mes;3;                                      
2021-03-01;13:46:56;Dia;5;                                      
2021-03-01;13:46:56;Silo 01;0;                                  
2021-03-01;13:46:56;Silo 02;0;                                  
2021-03-01;13:46:56;Silo 03;0;                                  
2021-03-01;13:46:56;Silo 04;0;                                  
2021-03-01;13:46:56;Betume;0;                                   
2021-03-01;13:46:57;Total Inova;0;                              
2021-03-01;13:46:57;Total Horas Inova;0;                        
2021-03-01;13:46:57;;0;                                         
2021-03-01;13:46:57;;0;                                         
2021-03-01;13:46:57;;0;                                         
2021-03-01;13:46:57;;0;                                         
2021-03-01;13:46:57;;0;                                         
2021-03-01;13:46:57;;0;                                         
2021-03-01;13:46:57;Ano;2012;                                   
2021-03-01;13:46:57;Mes;3;                                      
2021-03-01;13:46:57;Dia;5;                                      
2021-03-01;13:46:57;Silo 01;0;                                  
2021-03-01;13:46:57;Silo 02;0;                                  
2021-03-01;13:46:57;Silo 03;0;                                  
2021-03-01;13:46:57;Silo 04;0;                                  
2021-03-01;13:46:57;Betume;0;                                   
2021-03-01;13:46:58;Total Inova;0;                              
2021-03-01;13:46:58;Total Horas Inova;0;                        
2021-03-01;13:46:58;;0;                                         
2021-03-01;13:46:58;;0;                                         
2021-03-01;13:46:58;;0;                                         
2021-03-01;13:46:58;;0;                                         
2021-03-01;13:46:58;;0;                                         
2021-03-01;13:46:58;;0;                                         
2021-03-01;13:46:58;Ano;2012;                                   
2021-03-01;13:46:58;Mes;3;                                      
2021-03-01;13:46:58;Dia;5;                                      
2021-03-01;13:46:58;Silo 01;0;                                  
2021-03-01;13:46:58;Silo 02;0;                                  
2021-03-01;13:46:58;Silo 03;0;                                  
2021-03-01;13:46:58;Silo 04;0;                                  
2021-03-01;13:46:58;Betume;0;                                   
2021-03-01;13:46:59;Total Inova;0;                              
2021-03-01;13:46:59;Total Horas Inova;0;                        
2021-03-01;13:46:59;;0;                                         
2021-03-01;13:46:59;;0;                                         
2021-03-01;13:46:59;;0;                                         
2021-03-01;13:46:59;;0;                                         
2021-03-01;13:46:59;;0;                                         
2021-03-01;13:46:59;;0;                                         
2021-03-01;13:46:59;;0;                                         
2021-03-01;13:46:59;;0;                                         
2021-03-01;13:46:59;Ano;2012;                                   
2021-03-01;13:46:59;Mes;3;                                      
2021-03-01;13:46:59;Dia;5;                                      
2021-03-01;13:46:59;Silo 01;0;                                  
2021-03-01;13:46:59;Silo 02;0;                                  
2021-03-01;13:46:59;Silo 03;0;                                  
2021-03-01;13:46:59;Silo 04;0;                                  
2021-03-01;13:46:59;Betume;0;                                   
2021-03-01;13:46:59;Total Inova;0;                              
2021-03-01;13:46:59;Total Horas Inova;0;                        
2021-03-01;13:46:59;;0;                                         
2021-03-01;13:46:59;;0;                                         
2021-03-01;13:46:59;;0;                                         
2021-03-01;13:46:59;;0;                                         
2021-03-01;13:47:00;;0;                                         
2021-03-01;13:47:00;;0;                                         
2021-03-01;13:47:00;;0;                                         
2021-03-01;13:47:00;;0;                                         
2021-03-01;13:47:00;Ano;2012;                                   
2021-03-01;13:47:00;Mes;3;                                      
2021-03-01;13:47:00;Dia;5;                                      
2021-03-01;13:47:00;Silo 01;0;                                  
2021-03-01;13:47:00;Silo 02;0;                                  
2021-03-01;13:47:00;Silo 03;0;                                  
2021-03-01;13:47:00;Silo 04;0;                                  
2021-03-01;13:47:00;Betume;0;                                   
2021-03-01;13:47:00;Total Inova;0;                              
2021-03-01;13:47:00;Total Horas Inova;0;                        
2021-03-01;13:47:00;;0;                                         
2021-03-01;13:47:00;;0;                                         
2021-03-01;13:47:01;;0;                                         
2021-03-01;13:47:01;;0;                                         
2021-03-01;13:47:01;;0;                                         
2021-03-01;13:47:01;;0;                                         
2021-03-01;13:47:01;;0;                                         
2021-03-01;13:47:01;;0;                                         
2021-03-01;13:47:01;Ano;2012;                                   
2021-03-01;13:47:01;Mes;3;                                      
2021-03-01;13:47:01;Dia;5;                                      
2021-03-01;13:47:01;Silo 01;0;                                  
2021-03-01;13:47:01;Silo 02;0;                                  
2021-03-01;13:47:01;Silo 03;0;                                  
2021-03-01;13:47:01;Silo 04;0;                                  
2021-03-01;13:47:01;Betume;0;                                   
2021-03-01;13:47:01;Total Inova;0;                              
2021-03-01;13:47:01;Total Horas Inova;0;                        
2021-03-01;13:47:02;;0;                                         
2021-03-01;13:47:02;;0;                                         
2021-03-01;13:47:02;;0;                                         
2021-03-01;13:47:02;;0;                                         
2021-03-01;13:47:02;;0;                                         
2021-03-01;13:47:02;;0;                                         
2021-03-01;13:47:02;;0;                                         
2021-03-01;13:47:02;;0;                                         
2021-03-01;13:47:02;Ano;2012;                                   
2021-03-01;13:47:02;Mes;3;                                      
2021-03-01;13:47:02;Dia;5;                                      
2021-03-01;13:47:02;Silo 01;0;                                  
2021-03-01;13:47:02;Silo 02;0;                                  
2021-03-01;13:47:02;Silo 03;0;                                  
2021-03-01;13:47:02;Silo 04;0;                                  
2021-03-01;13:47:02;Betume;0;                                   
2021-03-01;13:47:03;Total Inova;0;                              
2021-03-01;13:47:03;Total Horas Inova;0;                        
2021-03-01;13:47:03;;0;                                         
2021-03-01;13:47:03;;0;                                         
2021-03-01;13:47:03;;0;                                         
2021-03-01;13:47:03;;0;                                         
2021-03-01;13:47:03;;0;                                         
2021-03-01;13:47:03;;0;                                         
2021-03-01;13:47:03;Ano;2012;                                   
2021-03-01;13:47:03;Mes;3;                                      
2021-03-01;13:47:03;Dia;5;                                      
2021-03-01;13:47:03;Silo 01;0;                                  
2021-03-01;13:47:03;Silo 02;0;                                  
2021-03-01;13:47:03;Silo 03;0;                                  
2021-03-01;13:47:03;Silo 04;0;                                  
2021-03-01;13:47:03;Betume;0;                                   
2021-03-01;13:47:04;Total Inova;0;                              
2021-03-01;13:47:04;Total Horas Inova;0;                        
2021-03-01;13:47:04;;0;                                         
2021-03-01;13:47:04;;0;                                         
2021-03-01;13:47:04;;0;                                         
2021-03-01;13:47:04;;0;                                         
2021-03-01;13:47:04;;0;                                         
2021-03-01;13:47:04;;0;                                         
2021-03-01;13:47:04;;0;                                         
2021-03-01;13:47:04;Ano;2012;                                   
2021-03-01;13:47:04;Mes;3;                                      
2021-03-01;13:47:04;Dia;5;                                      
2021-03-01;13:47:04;Silo 01;0;                                  
2021-03-01;13:47:04;Silo 02;0;                                  
2021-03-01;13:47:04;Silo 03;0;                                  
2021-03-01;13:47:04;Silo 04;0;                                  
2021-03-01;13:47:04;Betume;0;                                   
2021-03-01;13:47:04;Total Inova;0;                              
2021-03-01;13:47:04;Total Horas Inova;0;                        
2021-03-01;13:47:04;;0;                                         
2021-03-01;13:47:04;;0;                                         
2021-03-01;13:47:04;;0;                                         
2021-03-01;13:47:04;;0;                                         
2021-03-01;13:47:04;;0;                                         
2021-03-01;13:47:05;;0;                                         
2021-03-01;13:47:05;;0;                                         
2021-03-01;13:47:05;;0;                                         
2021-03-01;13:47:05;Ano;2012;                                   
2021-03-01;13:47:05;Mes;3;                                      
2021-03-01;13:47:05;Dia;5;                                      
2021-03-01;13:47:05;Silo 01;0;                                  
2021-03-01;13:47:05;Silo 02;0;                                  
2021-03-01;13:47:05;Silo 03;0;                                  
2021-03-01;13:47:05;Silo 04;0;                                  
2021-03-01;13:47:05;Betume;0;                                   
2021-03-01;13:47:05;Total Inova;0;                              
2021-03-01;13:47:05;Total Horas Inova;0;                        
2021-03-01;13:47:05;;0;                                         
2021-03-01;13:47:05;;0;                                         
2021-03-01;13:47:05;;0;                                         
2021-03-01;13:47:06;;0;                                         
2021-03-01;13:47:06;;0;                                         
2021-03-01;13:47:06;;0;                                         
2021-03-01;13:47:06;;0;                                         
2021-03-01;13:47:06;;0;                                         
2021-03-01;13:47:06;Ano;2012;                                   
2021-03-01;13:47:06;Mes;3;                                      
2021-03-01;13:47:06;Dia;5;                                      
2021-03-01;13:47:06;Silo 01;0;                                  
2021-03-01;13:47:06;Silo 02;0;                                  
2021-03-01;13:47:06;Silo 03;0;                                  
2021-03-01;13:47:06;Silo 04;0;                                  
2021-03-01;13:47:06;Betume;0;                                   
2021-03-01;13:47:06;Total Inova;0;                              
2021-03-01;13:47:06;Total Horas Inova;0;                        
2021-03-01;13:47:06;;0;                                         
2021-03-01;13:47:07;;0;                                         
2021-03-01;13:47:07;;0;                                         
2021-03-01;13:47:07;;0;                                         
2021-03-01;13:47:07;;0;                                         
2021-03-01;13:47:07;;0;                                         
2021-03-01;13:47:07;;0;                                         
2021-03-01;13:47:07;;0;                                         
2021-03-01;13:47:07;Ano;2012;                                   
2021-03-01;13:47:07;Mes;3;                                      
2021-03-01;13:47:07;Dia;5;                                      
2021-03-01;13:47:07;Silo 01;0;                                  
2021-03-01;13:47:07;Silo 02;0;                                  
2021-03-01;13:47:07;Silo 03;0;                                  
2021-03-01;13:47:07;Silo 04;0;                                  
2021-03-01;13:47:07;Betume;0;                                   
2021-03-01;13:47:07;Total Inova;0;                              
2021-03-01;13:47:08;Total Horas Inova;0;                        
2021-03-01;13:47:08;;0;                                         
2021-03-01;13:47:08;;0;                                         
2021-03-01;13:47:08;;0;                                         
2021-03-01;13:47:08;;0;                                         
2021-03-01;13:47:08;;0;                                         
2021-03-01;13:47:08;;0;                                         
2021-03-01;13:47:08;;0;                                         
2021-03-01;13:47:08;Ano;2012;                                   
2021-03-01;13:47:08;Mes;3;                                      
2021-03-01;13:47:08;Dia;5;                                      
2021-03-01;13:47:08;Silo 01;0;                                  
2021-03-01;13:47:08;Silo 02;0;                                  
2021-03-01;13:47:08;Silo 03;0;                                  
2021-03-01;13:47:08;Silo 04;0;                                  
2021-03-01;13:47:08;Betume;0;                                   
2021-03-01;13:47:09;Total Inova;0;                              
2021-03-01;13:47:09;Total Horas Inova;0;                        
2021-03-01;13:47:09;;0;                                         
2021-03-01;13:47:09;;0;                                         
2021-03-01;13:47:09;;0;                                         
2021-03-01;13:47:09;;0;                                         
2021-03-01;13:47:09;;0;                                         
2021-03-01;13:47:09;;0;                                         
2021-03-01;13:47:09;Ano;2012;                                   
2021-03-01;13:47:09;Mes;3;                                      
2021-03-01;13:47:09;Dia;5;                                      
2021-03-01;13:47:09;Silo 01;0;                                  
2021-03-01;13:47:09;Silo 02;0;                                  
2021-03-01;13:47:09;Silo 03;0;                                  
2021-03-01;13:47:09;Silo 04;0;                                  
2021-03-01;13:47:09;Betume;0;                                   
2021-03-01;13:47:10;Total Inova;0;                              
2021-03-01;13:47:10;Total Horas Inova;0;                        
2021-03-01;13:47:10;;0;                                         
2021-03-01;13:47:10;;0;                                         
2021-03-01;13:47:10;;0;                                         
2021-03-01;13:47:10;;0;                                         
2021-03-01;13:47:10;;0;                                         
2021-03-01;13:47:10;;0;                                         
